id,period,region,death_count
189,2015,Wellington region,3150
190,2015,Tasman region,375
191,2015,Nelson region,447
192,2015,Marlborough region,411
193,2015,West Coast region,294
194,2015,Canterbury region,4305
195,2015,Otago region,1641
196,2015,Southland region,879
197,2015,"Region not stated or area outside region",24
198,2015,New Zealand,31608
199,2016,Northland region,1563
200,2016,Auckland region,8007
201,2016,Waikato region,3066
202,2016,Bay of Plenty region,2403
203,2016,Gisborne region,378
204,2016,Hawke's Bay region,1368
205,2016,Taranaki region,981
206,2016,Manawatu-Wanganui region,2082
207,2016,Wellington region,3237
208,2016,Tasman region,384
209,2016,Nelson region,447
210,2016,Marlborough region,426
211,2016,West Coast region,267
212,2016,Canterbury region,4158
213,2016,Otago region,1536
214,2016,Southland region,855
215,2016,"Region not stated or area outside region",24
216,2016,New Zealand,31179
217,2017,Northland region,1611
218,2017,Auckland region,8577
219,2017,Waikato region,3378
220,2017,Bay of Plenty region,2676
221,2017,Gisborne region,432
222,2017,Hawke's Bay region,1527
223,2017,Taranaki region,1017
224,2017,Manawatu-Wanganui region,2262
225,2017,Wellington region,3300
226,2017,Tasman region,372
227,2017,Nelson region,468
228,2017,Marlborough region,405
229,2017,West Coast region,309
230,2017,Canterbury region,4494
231,2017,Otago region,1647
232,2017,Southland region,849
233,2017,"Region not stated or area outside region",21
234,2017,New Zealand,33342
235,2018,Northland region,1692
236,2018,Auckland region,8586
237,2018,Waikato region,3420
238,2018,Bay of Plenty region,2583
239,2018,Gisborne region,429
240,2018,Hawke's Bay region,1515
241,2018,Taranaki region,1026
242,2018,Manawatu-Wanganui region,2190
243,2018,Wellington region,3330
244,2018,Tasman region,402
245,2018,Nelson region,441
246,2018,Marlborough region,450
247,2018,West Coast region,291
248,2018,Canterbury region,4431
249,2018,Otago region,1626
250,2018,Southland region,804
251,2018,"Region not stated or area outside region",15
252,2018,New Zealand,33225
253,2019,Northland region,1662
254,2019,Auckland region,8619
255,2019,Waikato region,3393
256,2019,Bay of Plenty region,2787
257,2019,Gisborne region,456
258,2019,Hawke's Bay region,1584
259,2019,Taranaki region,1041
260,2019,Manawatu-Wanganui region,2178
261,2019,Wellington region,3693
262,2019,Tasman region,450
263,2019,Nelson region,474
264,2019,Marlborough region,414
265,2019,West Coast region,300
266,2019,Canterbury region,4608
267,2019,Otago region,1695
268,2019,Southland region,888
269,2019,"Region not stated or area outside region",21
